"","subj_idx","stim","rt","response","participant"
"1",0,"0V0A",2.3108,"1",61716
"2",0,"0V0A",6.3757,"1",61716
"3",0,"0V0A",2.8626,"0",61716
"4",0,"0V0A",2.6781,"0",61716
"5",0,"0V0A",1.257,"0",61716
"6",0,"0V0A",1.8762,"0",61716
"7",0,"0V0A",1.1894,"0",61716
"8",0,"0V0A",3.3468,"1",61716
"9",0,"0V0A",4.1201,"0",61716
"10",0,"0V0A",3.3398,"0",61716
"11",0,"0V0A",1.487,"1",61716
"12",0,"0V0A",5.7259,"0",61716
"13",0,"0V0A",2.6904,"1",61716
"14",0,"0V0A",1.8918,"1",61716
"15",0,"0V0A",3.9901,"0",61716
"16",0,"0V0A",3.3093,"1",61716
"17",0,"0V0A",7.33813057115278,"0",61716
"18",0,"0V0A",6.2758,"1",61716
"19",0,"0V0A",1.4517,"1",61716
"20",0,"0V0A",7.33813057115278,"0",61716
"21",0,"0V0A",2.6083,"0",61716
"22",0,"0V0A",2.8447,"1",61716
"23",0,"0V0A",1.9599,"1",61716
"24",0,"0V0A",2.7241,"1",61716
"25",0,"0V0A",1.8887,"0",61716
"26",0,"0V0A",1.7055,"1",61716
"27",0,"0V0A",1.476,"0",61716
"28",0,"0V0A",4.0941,"1",61716
"3641",0,"0V1A",2.7725,"1",61716
"3642",0,"0V1A",2.6915,"1",61716
"3643",0,"0V1A",1.5299,"1",61716
"3644",0,"0V1A",1.5568,"1",61716
"3645",0,"0V1A",7.33813057115278,"0",61716
"3646",0,"0V1A",1.6124,"0",61716
"3647",0,"0V1A",2.3081,"1",61716
"3648",0,"0V1A",3.8231,"0",61716
"3649",0,"0V1A",4.5934,"1",61716
"3650",0,"0V1A",3.9752,"1",61716
"3651",0,"0V1A",1.9477,"1",61716
"3652",0,"0V1A",1.4103,"0",61716
"3653",0,"0V1A",3.042,"0",61716
"3654",0,"0V1A",2.1076,"0",61716
"3655",0,"0V1A",1.6535,"0",61716
"3656",0,"0V1A",1.2617,"1",61716
"3657",0,"0V1A",2.2955,"1",61716
"3658",0,"0V1A",1.7095,"0",61716
"3659",0,"0V1A",1.6276,"1",61716
"3660",0,"0V1A",2.2463,"0",61716
"3661",0,"0V1A",3.0057,"1",61716
"3662",0,"0V1A",2.7079,"1",61716
"3663",0,"0V1A",2.3089,"0",61716
"3664",0,"0V1A",2.2218,"0",61716
"3665",0,"0V1A",2.6551,"1",61716
"3666",0,"0V1A",2.3596,"1",61716
"3667",0,"0V1A",6.5076,"0",61716
"3668",0,"0V1A",2.582,"1",61716
"7281",0,"1V0A",5.9656,"0",61716
"7282",0,"1V0A",2.2457,"0",61716
"7283",0,"1V0A",5.2416,"0",61716
"7284",0,"1V0A",4.11,"1",61716
"7285",0,"1V0A",1.5719,"0",61716
"7286",0,"1V0A",2.6944,"0",61716
"7287",0,"1V0A",1.5161,"0",61716
"7288",0,"1V0A",3.5892,"1",61716
"7289",0,"1V0A",2.4093,"0",61716
"7290",0,"1V0A",4.8886,"0",61716
"7291",0,"1V0A",2.2721,"0",61716
"7292",0,"1V0A",4.2646,"1",61716
"7293",0,"1V0A",3.39,"1",61716
"7294",0,"1V0A",1.3588,"0",61716
"7295",0,"1V0A",3.6635,"1",61716
"7296",0,"1V0A",2.2097,"0",61716
