"","subj_idx","stim","rt","response","group","arousal","valence","participant"
"1",0,"0V0A",6.0531,"1","group4",3,3,96107
"2",0,"0V0A",5.0807,"1","group4",3,3,96107
"3",0,"0V0A",4.0615,"1","group4",3,3,96107
"4",0,"0V0A",1.9012,"0","group4",3,3,96107
"5",0,"0V0A",5.6357,"1","group4",3,3,96107
"6",0,"0V0A",6.4327243889638,"1","group4",3,3,96107
"7",0,"0V0A",2.8543,"0","group4",3,3,96107
"8",0,"0V0A",1.2359,"0","group4",3,3,96107
"9",0,"0V0A",1.5177,"0","group4",3,3,96107
"10",0,"0V0A",0.9341,"0","group4",3,3,96107
"11",0,"0V0A",1.1706,"0","group4",3,3,96107
"12",0,"0V0A",0.8825,"0","group4",3,3,96107
"13",0,"0V0A",2.4496,"1","group4",2,2,96107
"14",0,"0V0A",1.7499,"1","group4",2,2,96107
"15",0,"0V0A",2.9163,"1","group4",2,2,96107
"16",0,"0V0A",1.121,"1","group4",2,2,96107
"17",0,"0V0A",1.2,"1","group4",3,3,96107
"18",0,"0V0A",1.0327,"1","group4",3,3,96107
"19",0,"0V0A",1.2689,"0","group4",3,3,96107
"20",0,"0V0A",0.8483,"1","group4",3,3,96107
"21",0,"0V0A",3.2672,"0","group4",3,3,96107
"22",0,"0V0A",1.5487,"1","group4",3,3,96107
"23",0,"0V0A",1.6337,"0","group4",3,3,96107
"24",0,"0V0A",0.7635,"1","group4",3,3,96107
"25",0,"0V0A",3.0665,"1","group4",3,3,96107
"26",0,"0V0A",1.0169,"1","group4",3,3,96107
"27",0,"0V0A",0.9707,"0","group4",3,3,96107
"28",0,"0V0A",0.7112,"0","group4",3,3,96107
"3557",0,"0V1A",6.3314,"0","group4",3,3,96107
"3558",0,"0V1A",6.4327243889638,"0","group4",3,3,96107
"3559",0,"0V1A",6.4327243889638,"1","group4",3,3,96107
"3560",0,"0V1A",1.8478,"0","group4",3,3,96107
"3561",0,"0V1A",4.0336,"1","group4",3,3,96107
"3562",0,"0V1A",2.0051,"1","group4",3,3,96107
"3563",0,"0V1A",1.7319,"0","group4",3,3,96107
"3564",0,"0V1A",1.9009,"0","group4",3,3,96107
"3565",0,"0V1A",3.3243,"0","group4",3,3,96107
"3566",0,"0V1A",1.8484,"0","group4",3,3,96107
"3567",0,"0V1A",3.8326,"1","group4",3,3,96107
"3568",0,"0V1A",1.55,"0","group4",3,3,96107
"3569",0,"0V1A",2.7659,"1","group4",2,2,96107
"3570",0,"0V1A",1.8751,"1","group4",2,2,96107
"3571",0,"0V1A",1.3212,"1","group4",2,2,96107
"3572",0,"0V1A",1.1376,"0","group4",2,2,96107
"3573",0,"0V1A",1.4156,"0","group4",3,3,96107
"3574",0,"0V1A",1.7653,"1","group4",3,3,96107
"3575",0,"0V1A",1.7172,"1","group4",3,3,96107
"3576",0,"0V1A",0.833,"1","group4",3,3,96107
"3577",0,"0V1A",1.3997,"1","group4",3,3,96107
"3578",0,"0V1A",0.8052,"1","group4",3,3,96107
"3579",0,"0V1A",0.639,"0","group4",3,3,96107
"3580",0,"0V1A",1.0686,"0","group4",3,3,96107
"3581",0,"0V1A",1.066,"0","group4",3,3,96107
"3582",0,"0V1A",0.6716,"0","group4",3,3,96107
"3583",0,"0V1A",0.8963,"0","group4",3,3,96107
"3584",0,"0V1A",1.0202,"0","group4",3,3,96107
"7113",0,"1V0A",3.8494,"0","group4",3,3,96107
"7114",0,"1V0A",6.4327243889638,"0","group4",3,3,96107
"7115",0,"1V0A",2.2997,"1","group4",3,3,96107
"7116",0,"1V0A",4.9833,"1","group4",3,3,96107
"7117",0,"1V0A",2.6491,"0","group4",3,3,96107
"7118",0,"1V0A",2.316,"1","group4",3,3,96107
"7119",0,"1V0A",6.4327243889638,"0","group4",3,3,96107
"7120",0,"1V0A",1.8667,"0","group4",3,3,96107
"7121",0,"1V0A",0.9383,"1","group4",3,3,96107
"7122",0,"1V0A",0.8676,"0","group4",3,3,96107
"7123",0,"1V0A",1.5013,"0","group4",3,3,96107
"7124",0,"1V0A",1.0527,"0","group4",3,3,96107
"7125",0,"1V0A",1.3175,"0","group4",2,2,96107
"7126",0,"1V0A",0.936,"0","group4",2,2,96107
"7127",0,"1V0A",1.3819,"0","group4",2,2,96107
"7128",0,"1V0A",1.1986,"0","group4",2,2,96107
"7129",0,"1V0A",1.5522,"0","group4",3,3,96107
"7130",0,"1V0A",1.584,"1","group4",3,3,96107
"7131",0,"1V0A",0.9815,"0","group4",3,3,96107
"7132",0,"1V0A",1.099,"0","group4",3,3,96107
"7133",0,"1V0A",1.3827,"0","group4",3,3,96107
"7134",0,"1V0A",0.8825,"0","group4",3,3,96107
"7135",0,"1V0A",0.898,"0","group4",3,3,96107
"7136",0,"1V0A",0.939,"0","group4",3,3,96107
"7137",0,"1V0A",1.8189,"0","group4",3,3,96107
"7138",0,"1V0A",1.3666,"0","group4",3,3,96107
"7139",0,"1V0A",0.994,"1","group4",3,3,96107
"7140",0,"1V0A",0.9341,"0","group4",3,3,96107
"10669",0,"1V1A",2.681,"0","group4",3,3,96107
"10670",0,"1V1A",4.2111,"0","group4",3,3,96107
"10671",0,"1V1A",4.1787,"1","group4",3,3,96107
"10672",0,"1V1A",3.047,"0","group4",3,3,96107
"10673",0,"1V1A",2.3658,"0","group4",3,3,96107
"10674",0,"1V1A",1.269,"0","group4",3,3,96107
"10675",0,"1V1A",1.8361,"1","group4",3,3,96107
"10676",0,"1V1A",1.3831,"0","group4",3,3,96107
"10677",0,"1V1A",2.0231,"1","group4",3,3,96107
"10678",0,"1V1A",1.0692,"0","group4",3,3,96107
"10679",0,"1V1A",1.3485,"1","group4",3,3,96107
"10680",0,"1V1A",0.9632,"0","group4",3,3,96107
"10681",0,"1V1A",2.4985,"0","group4",2,2,96107
"10682",0,"1V1A",2.0848,"0","group4",2,2,96107
"10683",0,"1V1A",1.3169,"0","group4",2,2,96107
"10684",0,"1V1A",1.3829,"1","group4",2,2,96107
"10685",0,"1V1A",1.9014,"0","group4",3,3,96107
"10686",0,"1V1A",2.5005,"0","group4",3,3,96107
"10687",0,"1V1A",1.2176,"0","group4",3,3,96107
"10688",0,"1V1A",0.8361,"0","group4",3,3,96107
"10689",0,"1V1A",1.3158,"0","group4",3,3,96107
"10690",0,"1V1A",1.2493,"0","group4",3,3,96107
"10691",0,"1V1A",0.7553,"0","group4",3,3,96107
"10692",0,"1V1A",0.7327,"0","group4",3,3,96107
"10693",0,"1V1A",1.7672,"0","group4",3,3,96107
"10694",0,"1V1A",2.034,"1","group4",3,3,96107
"10695",0,"1V1A",1.8335,"0","group4",3,3,96107
"10696",0,"1V1A",1.2831,"0","group4",3,3,96107
"14225",0,"1Vne1A",5.6475,"1","group4",3,3,96107
"14226",0,"1Vne1A",3.4008,"0","group4",3,3,96107
"14227",0,"1Vne1A",3.8313,"1","group4",3,3,96107
"14228",0,"1Vne1A",3.5508,"1","group4",3,3,96107
"14229",0,"1Vne1A",3.3204,"1","group4",3,3,96107
"14230",0,"1Vne1A",0.9997,"1","group4",3,3,96107
"14231",0,"1Vne1A",1.6125,"0","group4",3,3,96107
"14232",0,"1Vne1A",1.0824,"0","group4",3,3,96107
"14233",0,"1Vne1A",4.4163,"0","group4",3,3,96107
"14234",0,"1Vne1A",1.8017,"0","group4",3,3,96107
"14235",0,"1Vne1A",1.452,"1","group4",3,3,96107
"14236",0,"1Vne1A",0.9618,"0","group4",3,3,96107
"14237",0,"1Vne1A",2.5324,"0","group4",2,2,96107
"14238",0,"1Vne1A",1.1172,"0","group4",2,2,96107
"14239",0,"1Vne1A",1.0532,"0","group4",2,2,96107
"14240",0,"1Vne1A",0.8659,"0","group4",2,2,96107
"14241",0,"1Vne1A",3.3831,"0","group4",3,3,96107
"14242",0,"1Vne1A",1.9853,"0","group4",3,3,96107
"14243",0,"1Vne1A",3.315,"0","group4",3,3,96107
"14244",0,"1Vne1A",1.0494,"0","group4",3,3,96107
"14245",0,"1Vne1A",1.6229,"0","group4",3,3,96107
"14246",0,"1Vne1A",1.4153,"0","group4",3,3,96107
"14247",0,"1Vne1A",1.3389,"0","group4",3,3,96107
"14248",0,"1Vne1A",0.9974,"0","group4",3,3,96107
"14249",0,"1Vne1A",1.1683,"0","group4",3,3,96107
"14250",0,"1Vne1A",1.2004,"1","group4",3,3,96107
"14251",0,"1Vne1A",1.1676,"0","group4",3,3,96107
"14252",0,"1Vne1A",1.3736,"0","group4",3,3,96107
