subj_idx,stim,rt,response,group,arousal,valence
0,0V0A,6.0531,1,group4,3,3
0,0V0A,5.0807,1,group4,3,3
0,0V0A,4.0615,1,group4,3,3
0,0V0A,1.9012,0,group4,3,3
0,0V0A,5.6357,1,group4,3,3
0,0V0A,6.432724389,1,group4,3,3
0,0V0A,2.8543,0,group4,3,3
0,0V0A,1.2359,0,group4,3,3
0,0V0A,1.5177,0,group4,3,3
0,0V0A,0.9341,0,group4,3,3
0,0V0A,1.1706,0,group4,3,3
0,0V0A,0.8825,0,group4,3,3
0,0V0A,2.4496,1,group4,2,2
0,0V0A,1.7499,1,group4,2,2
0,0V0A,2.9163,1,group4,2,2
0,0V0A,1.121,1,group4,2,2
0,0V0A,1.2,1,group4,3,3
0,0V0A,1.0327,1,group4,3,3
0,0V0A,1.2689,0,group4,3,3
0,0V0A,0.8483,1,group4,3,3
0,0V0A,3.2672,0,group4,3,3
0,0V0A,1.5487,1,group4,3,3
0,0V0A,1.6337,0,group4,3,3
0,0V0A,0.7635,1,group4,3,3
0,0V0A,3.0665,1,group4,3,3
0,0V0A,1.0169,1,group4,3,3
0,0V0A,0.9707,0,group4,3,3
0,0V0A,0.7112,0,group4,3,3
0,0V1A,6.3314,0,group4,3,3
0,0V1A,6.432724389,0,group4,3,3
0,0V1A,6.432724389,1,group4,3,3
0,0V1A,1.8478,0,group4,3,3
0,0V1A,4.0336,1,group4,3,3
0,0V1A,2.0051,1,group4,3,3
0,0V1A,1.7319,0,group4,3,3
0,0V1A,1.9009,0,group4,3,3
0,0V1A,3.3243,0,group4,3,3
0,0V1A,1.8484,0,group4,3,3
0,0V1A,3.8326,1,group4,3,3
0,0V1A,1.55,0,group4,3,3
0,0V1A,2.7659,1,group4,2,2
0,0V1A,1.8751,1,group4,2,2
0,0V1A,1.3212,1,group4,2,2
0,0V1A,1.1376,0,group4,2,2
0,0V1A,1.4156,0,group4,3,3
0,0V1A,1.7653,1,group4,3,3
0,0V1A,1.7172,1,group4,3,3
0,0V1A,0.833,1,group4,3,3
0,0V1A,1.3997,1,group4,3,3
0,0V1A,0.8052,1,group4,3,3
0,0V1A,0.639,0,group4,3,3
0,0V1A,1.0686,0,group4,3,3
0,0V1A,1.066,0,group4,3,3
0,0V1A,0.6716,0,group4,3,3
0,0V1A,0.8963,0,group4,3,3
0,0V1A,1.0202,0,group4,3,3
0,1V0A,3.8494,0,group4,3,3
0,1V0A,6.432724389,0,group4,3,3
0,1V0A,2.2997,1,group4,3,3
0,1V0A,4.9833,1,group4,3,3
0,1V0A,2.6491,0,group4,3,3
0,1V0A,2.316,1,group4,3,3
0,1V0A,6.432724389,0,group4,3,3
0,1V0A,1.8667,0,group4,3,3
0,1V0A,0.9383,1,group4,3,3
0,1V0A,0.8676,0,group4,3,3
0,1V0A,1.5013,0,group4,3,3
0,1V0A,1.0527,0,group4,3,3
0,1V0A,1.3175,0,group4,2,2
0,1V0A,0.936,0,group4,2,2
0,1V0A,1.3819,0,group4,2,2
0,1V0A,1.1986,0,group4,2,2
0,1V0A,1.5522,0,group4,3,3
0,1V0A,1.584,1,group4,3,3
0,1V0A,0.9815,0,group4,3,3
0,1V0A,1.099,0,group4,3,3
0,1V0A,1.3827,0,group4,3,3
0,1V0A,0.8825,0,group4,3,3
0,1V0A,0.898,0,group4,3,3
0,1V0A,0.939,0,group4,3,3
0,1V0A,1.8189,0,group4,3,3
0,1V0A,1.3666,0,group4,3,3
0,1V0A,0.994,1,group4,3,3
0,1V0A,0.9341,0,group4,3,3
0,1V1A,2.681,0,group4,3,3
0,1V1A,4.2111,0,group4,3,3
0,1V1A,4.1787,1,group4,3,3
0,1V1A,3.047,0,group4,3,3
0,1V1A,2.3658,0,group4,3,3
0,1V1A,1.269,0,group4,3,3
0,1V1A,1.8361,1,group4,3,3
0,1V1A,1.3831,0,group4,3,3
0,1V1A,2.0231,1,group4,3,3
0,1V1A,1.0692,0,group4,3,3
0,1V1A,1.3485,1,group4,3,3
0,1V1A,0.9632,0,group4,3,3
0,1V1A,2.4985,0,group4,2,2
0,1V1A,2.0848,0,group4,2,2
0,1V1A,1.3169,0,group4,2,2
0,1V1A,1.3829,1,group4,2,2
0,1V1A,1.9014,0,group4,3,3
0,1V1A,2.5005,0,group4,3,3
0,1V1A,1.2176,0,group4,3,3
0,1V1A,0.8361,0,group4,3,3
0,1V1A,1.3158,0,group4,3,3
0,1V1A,1.2493,0,group4,3,3
0,1V1A,0.7553,0,group4,3,3
0,1V1A,0.7327,0,group4,3,3
0,1V1A,1.7672,0,group4,3,3
0,1V1A,2.034,1,group4,3,3
0,1V1A,1.8335,0,group4,3,3
0,1V1A,1.2831,0,group4,3,3
0,1Vne1A,5.6475,1,group4,3,3
0,1Vne1A,3.4008,0,group4,3,3
0,1Vne1A,3.8313,1,group4,3,3
0,1Vne1A,3.5508,1,group4,3,3
0,1Vne1A,3.3204,1,group4,3,3
0,1Vne1A,0.9997,1,group4,3,3
0,1Vne1A,1.6125,0,group4,3,3
0,1Vne1A,1.0824,0,group4,3,3
0,1Vne1A,4.4163,0,group4,3,3
0,1Vne1A,1.8017,0,group4,3,3
0,1Vne1A,1.452,1,group4,3,3
0,1Vne1A,0.9618,0,group4,3,3
0,1Vne1A,2.5324,0,group4,2,2
0,1Vne1A,1.1172,0,group4,2,2
0,1Vne1A,1.0532,0,group4,2,2
0,1Vne1A,0.8659,0,group4,2,2
0,1Vne1A,3.3831,0,group4,3,3
0,1Vne1A,1.9853,0,group4,3,3
0,1Vne1A,3.315,0,group4,3,3
0,1Vne1A,1.0494,0,group4,3,3
0,1Vne1A,1.6229,0,group4,3,3
0,1Vne1A,1.4153,0,group4,3,3
