,subj_idx,movie,movie_arousal,movie_valence
0,0,imageHL1,5.0,4.0
1,0,imageHH3,3.0,2.0
2,0,imageHH1,5.0,3.0
3,0,imageLL5,5.0,2.0
4,0,imageHL7,4.0,3.0
5,0,imageLH13,4.0,2.0
6,0,imageLL8,4.0,2.0
7,0,imageLH11,5.0,1.0
47,0,imageLL7,4.0,2.0
48,0,imageHH10,3.0,2.0
49,0,imageHL12,2.0,4.0
50,0,imageHH8,5.0,2.0
51,0,imageLH4,4.0,1.0
52,0,imageLH1,4.0,1.0
53,0,imageHL11,1.0,3.0
54,0,imageLL13,3.0,1.0
94,0,imageHL9,3.0,4.0
95,0,imageHH7,4.0,5.0
96,0,imageLH14,4.0,1.0
97,0,imageHL10,4.0,3.0
98,0,imageHH5,2.0,4.0
99,0,imageLH8,4.0,1.0
100,0,imageLL1,5.0,1.0
101,0,imageLL6,3.0,1.0
141,0,imageHL13,3.0,3.0
142,0,imageLL4,4.0,1.0
143,0,imageHH11,4.0,3.0
144,0,imageLL12,4.0,1.0
145,0,imageHH9,4.0,4.0
146,0,imageHL8,2.0,2.0
147,0,imageLH2,5.0,1.0
148,0,imageLH3,4.0,3.0
188,0,imageHL5,4.0,4.0
189,0,imageHH13,4.0,2.0
190,0,imageLH7,5.0,1.0
191,0,imageLL2,4.0,1.0
192,0,imageHL14,2.0,5.0
193,0,imageLH5,5.0,4.0
194,0,imageHH4,5.0,4.0
195,0,imageLL14,4.0,2.0
235,0,imageHL4,4.0,5.0
236,0,imageHH6,3.0,3.0
237,0,imageHL3,2.0,4.0
238,0,imageLL10,2.0,1.0
239,0,imageLL9,4.0,2.0
240,0,imageHH2,3.0,4.0
241,0,imageLH6,5.0,3.0
242,0,imageLH12,5.0,2.0
282,0,imageHH12,4.0,4.0
283,0,imageLL3,5.0,3.0
284,0,imageHH14,1.0,4.0
285,0,imageHL2,3.0,4.0
286,0,imageLL11,4.0,3.0
287,0,imageLH10,5.0,1.0
288,0,imageHL6,3.0,3.0
289,0,imageLH9,4.0,2.0
0,1,imageLH13,4.0,3.0
1,1,imageHH6,2.0,3.0
2,1,imageLH1,4.0,2.0
3,1,imageHH4,2.0,3.0
4,1,imageHL5,3.0,4.0
5,1,imageLL3,2.0,3.0
6,1,imageHL13,2.0,3.0
7,1,imageLL6,3.0,3.0
47,1,imageHH2,4.0,4.0
48,1,imageLL13,2.0,1.0
49,1,imageHH1,3.0,3.0
50,1,imageHL8,2.0,3.0
51,1,imageLL4,4.0,3.0
52,1,imageLH2,2.0,4.0
53,1,imageLH3,4.0,3.0
54,1,imageHL4,4.0,4.0
94,1,imageLL8,4.0,2.0
95,1,imageLH8,4.0,3.0
96,1,imageLH4,4.0,3.0
97,1,imageHL10,3.0,3.0
98,1,imageHL6,1.0,3.0
99,1,imageHH12,4.0,4.0
100,1,imageHH10,3.0,3.0
101,1,imageLL7,4.0,3.0
141,1,imageLH12,5.0,4.0
142,1,imageHL9,3.0,2.0
143,1,imageHL3,4.0,4.0
144,1,imageLH11,4.0,3.0
145,1,imageLL9,4.0,3.0
146,1,imageHH9,4.0,2.0
147,1,imageLL11,3.0,2.0
148,1,imageHH13,4.0,3.0
188,1,imageHH14,2.0,3.0
189,1,imageLL1,4.0,2.0
190,1,imageHH7,3.0,4.0
191,1,imageHL11,2.0,3.0
192,1,imageHL12,3.0,4.0
193,1,imageLH5,4.0,3.0
194,1,imageLH7,4.0,2.0
195,1,imageLL12,3.0,2.0
235,1,imageHH5,3.0,3.0
236,1,imageHH8,4.0,4.0
237,1,imageLH6,4.0,2.0
238,1,imageHL2,2.0,3.0
239,1,imageHL14,3.0,3.0
240,1,imageLH9,4.0,3.0
241,1,imageLL2,3.0,3.0
